author,title_count
Абашидзе И.В.,15
Абрамов Ф.А.,15
Авижюс Й.,15
Адамович А.М.,4
Айбек М.,15
Айни С.,15
Айтматов Ч.,15
Акопян А.,15
Алигер М.И.,16
Антокольский П.Г.,15
Антонов С.П.,15
Астафьев В.П.,7
Ахматова А.А.,7
Ахундов М.,7
Багрицкий Э.Г.,16
Бажан М.П.,15
Байрон Д.,16
Бальзак О.,16
Бедный Д.,16
Бек А.А.,16
Белинский В.Г.,16
Блок А.А.,16
Бокарев Г.К.,9
Бондарев Ю.В.,15
Брежнев Л.И.,3
Брехт Б.,15
Бровка П.У.,15
Буков Е.Н.,15
Бунин И.А.,7
Быков В.В.,15
Винокуров Е.М.,15
Вознесенский А.А.,3
Вургун С.,15
Гамзатов Р.,15
Гамсахурдиа К.,15
Гельман А.И.,9
Герцен А.И.,16
Гете И.В.,16
Гладков Ф.В.,16
Гоголь Н.В.,16
Гончар О.Т.,16
Гончаров И.А.,16
Горбатов Б.Л.,15
Горький М.,16
Гранин Д.А.,15
Грибоедов А.С.,16
Гулям Г.,15
Державин Г.Р.,16
Джалиль М.,15
Джамбул,15
Димов Д.,15
Добролюбов Н.А.,16
Достоевский Ф.М.,16
Евтушенко Е.А.,15
Есенин С.А.,16
Жуковский В.А.,16
Заболоцкий Н.А.,15
Закруткин В.А.,15
Залыгин С.П.,15
Зегерс А.,16
Зульфия,3
Иванов Вс.Вяч.,16
Исаакян А.С.,15
Исаковский М.В.,16
Казакевич Э.Г.,16
Капутикян С.Б.,15
Карамзин Н.М.,10
Карим М.,15
Катаев В.П.,15
Киачели Л.,15
Кожевников В.М.,15
Колас Я.,16
Колесников М.С.,9
Корнейчук А.Е.,15
Короленко В.Г.,16
Кочетов В.А.,15
Крылов И.А.,10
Крымов Ю.С.,16
Кугультинов Д.Н.,15
Кулешов А.А.,15
Кулиев К.,15
Купала Я.,16
Куприн А.И.,16
Курочкин В.С.,16
Кьюсак Д.,1
Лахути А.,15
Лацис В.,15
Лебедев-Кумач В.И.,15
Леонидзе Г.А.,15
Леонов Л.М.,16
Лермонтов М.Ю.,16
Липатов В.В.,9
Ломоносов М.В.,16
Луговской В.А.,15
Макаренко А.С.,16
Малышкин А.Г.,15
Малышко А.С.,15
Марков Г.М.,15
Мартынов Л.Н.,15
Марцинкявичус Ю.,15
Маяковский В.В.,16
Межелайтис Э.,15
Межиров А.П.,15
Мележ И.П.,15
Минаев Д.Д.,16
Михайлов М.Л.,15
Мольер Ж.Б.,16
Налбандян М.,7
Некрасов В.П.,8
Некрасов Н.А.,16
Нерис С.,15
Неруда П.,16
Николаева Г.Е.,15
Нилин П.Ф.,15
Ниязи Х.Х.,15
Островский А.Н.,16
Островский Н.А.,16
Паустовский К.Г.,7
Писарев Д.И.,16
Погодин Н.Ф.,15
Прокофьев А.А.,15
Проскурин П.Л.,15
Пушкин А.С.,16
Радищев А.Н.,16
Распутин В.Г.,7
Рзы Р.,15
Рождественский Р.И.,15
Руставели Ш.,16
Рылеев К.Ф.,16
Рыленков Н.И.,15
Рыльский М.Ф.,16
Салтыков-Щедрин М.Е.,16
Светлов М.А.,16
Сент-Экзюпери А.,16
Серафимович А.С.,16
Симонов К.М.,16
Смеляков Я.В.,15
Соболев Л.С.,15
Стальский С.С.,15
Стельмах М.,15
Стендаль,1
Судрабкалн Я.,15
Сулейменов О.О.,7
Сурков А.А.,16
Табидзе Г.,16
Танк М.,15
Твардовский А.Т.,16
Тихонов Н.С.,16
Токтогул,15
Толстой А.Н.,16
Толстой Л.Н.,16
Тренев К.А.,16
Тувим Ю.,15
Тургенев И.С.,16
Турсун-заде М.,15
Тычина П.Г.,16
Тютчев Ф.И.,7
Фадеев А.А.,16
Федоров В.Д.,15
Фет А.А.,7
Фонвизин Д.И.,16
Фурманов Д.А.,16
Фучик Ю.,16
Хемингуэй Э.,16
Хетагуров К.,16
Хикмет Н.,7
Церетели А.,16
Чаковский А.Б.,15
Чаренц Е.А.,15
Чернышевский Н.Г.,16
Чехов А.П.,16
Шагинян М.С.,15
Шевченко Т.Г.,16
Шекспир У.,16
Шкулев Ф.С.,7
Шолохов М.А.,16
Шукшин В.М.,7
Эмин Г.Г.,7
Эренбург И.Г.,15
Яновский Ю.И.,15
народ,16
