author,title_count
Байрон Д.,4
Бальзак О.,1
Бедный Д.,1
Белинский В.Г.,5
Блок А.А.,8
Герцен А.И.,2
Гете И.В.,1
Гладков Ф.В.,1
Гоголь Н.В.,3
Гончаров И.А.,1
Горький М.,11
Грибоедов А.С.,1
Державин Г.Р.,2
Добролюбов Н.А.,1
Жуковский В.А.,3
Исаковский М.В.,1
Крылов И.А.,1
Купала Я.,1
Леонов Л.М.,3
Лермонтов М.Ю.,9
Ломоносов М.В.,2
Маяковский В.В.,13
Мольер Ж.Б.,1
Некрасов Н.А.,11
Островский А.Н.,2
Пушкин А.С.,24
Радищев А.Н.,2
Рылеев К.Ф.,3
Салтыков-Щедрин М.Е.,4
Серафимович А.С.,1
Толстой Л.Н.,8
Тургенев И.С.,8
Тычина П.Г.,2
Фадеев А.А.,2
Фонвизин Д.И.,1
Фурманов Д.А.,1
Чернышевский Н.Г.,1
Чехов А.П.,11
Шевченко Т.Г.,1
Шекспир У.,1
Шолохов М.А.,6
народ,3
