,author,title,comment,curriculum,id,year,grade,priority
0,Андреев Л.Н.,Жили-были,,19 ИРЛ 2 ст,1,1919,9,
1,Андреев Л.Н.,Иуда,,19 ИРЛ 2 ст,1,1919,9,
2,Андреев Л.Н.,Рассказ о семи повешенных,,19 ИРЛ 2 ст,1,1919,9,*
3,Бальмонт К.Д.,что-то,,19 ИРЛ 2 ст,1,1919,9,*
4,Брюсов В.Я.,что-то,,19 ИРЛ 2 ст,1,1919,9,*
5,Герцен А.И.,Кто виноват?,,19 ИРЛ 2 ст,1,1919,8,
6,Гоголь Н.В.,Вечера на Хуторе близ Диканьки,,19 ИРЛ 2 ст,1,1919,8,
7,Гоголь Н.В.,Вий,,19 ИРЛ 2 ст,1,1919,8,
8,Гоголь Н.В.,Женитьба,,19 ИРЛ 2 ст,1,1919,8,
9,Гоголь Н.В.,Мертвые души,,19 ИРЛ 2 ст,1,1919,8,
10,Гоголь Н.В.,"Повесть о том, как поссорились Иван Иванович с Иваном Никифоровичем",,19 ИРЛ 2 ст,1,1919,8,
11,Гоголь Н.В.,Портрет,,19 ИРЛ 2 ст,1,1919,8,
12,Гоголь Н.В.,Ревизор,,19 ИРЛ 2 ст,1,1919,8,
13,Гоголь Н.В.,Старосветские помещики,,19 ИРЛ 2 ст,1,1919,8,
14,Гоголь Н.В.,Тарас Бульба,,19 ИРЛ 2 ст,1,1919,8,
15,Гоголь Н.В.,Шинель,,19 ИРЛ 2 ст,1,1919,8,
16,Гончаров И.А.,Обломов,,19 ИРЛ 2 ст,1,1919,8,
17,Гончаров И.А.,Обрыв,,19 ИРЛ 2 ст,1,1919,8,
18,Гончаров И.А.,Обыкновенная история,,19 ИРЛ 2 ст,1,1919,8,*
19,Горький М.,Бывшие люди,,19 ИРЛ 2 ст,1,1919,9,
20,Горький М.,Детство,,19 ИРЛ 2 ст,1,1919,9,
21,Горький М.,Мать,,19 ИРЛ 2 ст,1,1919,9,*
22,Горький М.,Мещане,,19 ИРЛ 2 ст,1,1919,9,*
23,Горький М.,На дне,,19 ИРЛ 2 ст,1,1919,9,
24,Горький М.,Песня о буревестнике,,19 ИРЛ 2 ст,1,1919,9,
25,Горький М.,Песня о соколе,,19 ИРЛ 2 ст,1,1919,9,
26,Горький М.,Челкаш,,19 ИРЛ 2 ст,1,1919,9,
27,Грибоедов А.С.,Горе от ума,,19 ИРЛ 2 ст,1,1919,7,
28,Державин Г.Р.,Бог,,19 ИРЛ 2 ст,1,1919,7,
29,Державин Г.Р.,Вельможа,,19 ИРЛ 2 ст,1,1919,7,
30,Державин Г.Р.,Видение мурзы,,19 ИРЛ 2 ст,1,1919,7,
31,Державин Г.Р.,На смерть князя Мещерского,,19 ИРЛ 2 ст,1,1919,7,
